,input,label,predicted_label
0,UBID,egnanach,
1,personNumber,50290792,
2,Accuracy,99.0,
3,Time,42.08658838272095,
4,1,Other,Other
5,2,Other,Other
6,3,Fizz,Fizz
7,4,Other,Other
8,5,Buzz,Buzz
9,6,Fizz,Fizz
10,7,Other,Other
11,8,Other,Other
12,9,Fizz,Fizz
13,10,Buzz,Buzz
14,11,Other,Other
15,12,Fizz,Fizz
16,13,Other,Other
17,14,Other,Other
18,15,FizzBuzz,FizzBuzz
19,16,Other,Other
20,17,Other,Other
21,18,Fizz,Fizz
22,19,Other,Other
23,20,Buzz,Buzz
24,21,Fizz,Fizz
25,22,Other,Other
26,23,Other,Other
27,24,Fizz,Fizz
28,25,Buzz,Buzz
29,26,Other,Other
30,27,Fizz,Fizz
31,28,Other,Other
32,29,Other,Other
33,30,FizzBuzz,FizzBuzz
34,31,Other,Other
35,32,Other,Other
36,33,Fizz,Fizz
37,34,Other,Other
38,35,Buzz,Buzz
39,36,Fizz,Fizz
40,37,Other,Other
41,38,Other,Other
42,39,Fizz,Fizz
43,40,Buzz,Buzz
44,41,Other,Other
45,42,Fizz,Fizz
46,43,Other,Other
47,44,Other,Other
48,45,FizzBuzz,FizzBuzz
49,46,Other,Other
50,47,Other,Other
51,48,Fizz,Fizz
52,49,Other,Other
53,50,Buzz,Buzz
54,51,Fizz,Fizz
55,52,Other,Other
56,53,Other,Other
57,54,Fizz,Fizz
58,55,Buzz,Buzz
59,56,Other,Other
60,57,Fizz,Fizz
61,58,Other,Other
62,59,Other,Other
63,60,FizzBuzz,FizzBuzz
64,61,Other,Other
65,62,Other,Other
66,63,Fizz,Fizz
67,64,Other,Other
68,65,Buzz,Other
69,66,Fizz,Fizz
70,67,Other,Other
71,68,Other,Other
72,69,Fizz,Fizz
73,70,Buzz,Buzz
74,71,Other,Other
75,72,Fizz,Fizz
76,73,Other,Other
77,74,Other,Other
78,75,FizzBuzz,FizzBuzz
79,76,Other,Other
80,77,Other,Other
81,78,Fizz,Fizz
82,79,Other,Other
83,80,Buzz,Buzz
84,81,Fizz,Fizz
85,82,Other,Other
86,83,Other,Other
87,84,Fizz,Fizz
88,85,Buzz,Buzz
89,86,Other,Other
90,87,Fizz,Fizz
91,88,Other,Other
92,89,Other,Other
93,90,FizzBuzz,FizzBuzz
94,91,Other,Other
95,92,Other,Other
96,93,Fizz,Fizz
97,94,Other,Other
98,95,Buzz,Buzz
99,96,Fizz,Fizz
100,97,Other,Other
101,98,Other,Other
102,99,Fizz,Fizz
103,100,Buzz,Buzz
